layer,from,to
1,1,19
1,1,19
1,1,19
1,1,19
1,2,20
1,2,21
1,2,21
1,2,21
1,2,20
1,2,20
1,2,20
1,2,21
1,2,22
1,2,21
1,2,21
1,3,21
1,2,21
1,2,23
1,2,23
1,2,23
2,2,24
2,2,21
2,4,25
2,2,26
2,2,23
2,2,27
2,5,21
2,4,25
2,4,21
2,4,21
2,1,21
2,1,21
2,1,28
2,1,29
2,4,21
2,1,30
2,1,21
2,1,28
2,1,23
2,1,23
2,1,21
2,1,21
2,1,21
2,4,21
2,5,21
2,4,21
2,4,21
2,5,21
2,4,21
2,1,28
2,2,31
2,5,21
2,4,21
2,1,21
2,2,32
2,1,21
2,2,21
2,4,30
2,4,21
2,4,21
2,2,30
2,4,21
2,4,25
2,4,25
2,4,25
2,3,21
2,2,20
2,2,23
2,3,33
2,2,21
2,2,23
2,2,21
2,2,33
2,2,33
2,2,34
2,2,35
2,2,21
2,2,31
2,2,21
2,2,23
2,2,36
2,2,24
2,2,20
2,3,24
2,5,21
2,5,21
2,5,21
2,2,36
2,2,21
2,3,30
2,3,30
2,3,20
2,3,21
2,6,27
2,6,24
2,4,21
2,5,30
2,5,24
3,4,21
3,7,33
3,4,30
3,2,21
3,2,21
3,1,34
3,1,34
3,1,37
3,1,23
3,1,23
3,1,37
3,1,21
3,1,38
3,4,21
3,1,33
3,7,37
3,1,21
3,4,33
3,7,21
3,7,21
3,7,21
3,7,21
3,1,37
3,1,37
3,1,39
3,1,40
3,1,40
3,1,37
3,4,30
3,4,30
3,7,21
3,1,40
3,1,23
3,1,26
3,4,30
3,1,37
3,4,25
3,4,41
3,4,30
3,7,42
3,1,43
3,1,40
3,1,33
3,4,30
3,5,30
3,5,30
3,4,44
3,4,44
3,4,41
3,4,30
3,4,30
3,2,33
3,4,21
3,1,40
3,1,45
3,5,33
3,7,33
3,7,21
3,7,21
3,4,30
3,4,30
3,2,44
3,2,44
3,4,30
3,1,46
3,4,21
3,1,23
3,1,23
3,1,45
3,1,45
3,1,37
3,1,37
3,1,23
3,1,37
3,1,41
3,1,37
3,1,31
3,1,21
3,4,30
3,4,21
3,4,47
3,4,21
3,2,21
3,4,30
3,4,21
3,2,30
3,4,30
3,1,37
3,4,25
3,4,25
3,4,25
3,1,48
3,1,49
3,7,21
3,5,50
3,5,30
3,5,30
3,5,30
3,5,30
3,5,30
3,5,30
3,5,30
3,5,21
3,2,21
3,2,51
3,7,21
3,2,30
3,2,21
3,2,21
3,2,30
3,2,21
3,2,32
3,2,31
3,2,21
3,2,44
3,2,36
3,2,36
3,2,33
3,2,21
3,7,21
3,7,21
3,6,21
3,6,21
3,7,21
3,2,30
3,2,21
3,2,36
3,2,36
3,2,23
3,2,23
3,5,30
3,5,30
3,5,50
3,5,52
3,6,21
3,4,30
3,4,30
3,4,21
3,2,51
3,2,32
3,6,21
4,1,40
4,1,23
4,1,53
4,1,40
4,1,37
4,4,53
4,4,50
4,4,25
4,4,54
4,4,40
4,1,23
4,7,21
4,1,37
4,1,37
4,1,53
4,7,21
4,7,21
4,7,21
4,7,21
4,1,40
4,7,41
4,1,37
4,8,40
4,8,21
4,7,55
4,7,21
4,7,21
4,4,21
4,1,53
4,1,23
4,1,37
4,7,21
4,7,56
4,7,21
4,5,21
4,4,21
4,4,21
4,9,21
4,4,25
4,4,33
4,4,21
4,2,21
4,4,21
4,4,21
4,1,57
4,7,21
4,4,50
4,7,21
4,7,21
4,7,21
4,7,21
4,4,21
4,4,21
4,1,37
4,1,38
4,7,21
4,1,40
4,1,37
4,1,23
4,1,37
4,1,37
4,4,21
4,4,30
4,4,30
4,1,37
4,1,38
4,4,21
4,4,25
4,9,21
4,9,21
4,4,21
4,2,25
4,2,30
4,2,44
4,4,30
4,1,46
4,4,58
4,1,37
4,4,59
4,7,21
4,1,46
4,1,37
4,1,37
4,1,21
4,1,21
4,1,37
4,7,21
4,4,30
4,1,46
4,1,21
4,1,21
4,1,21
4,1,58
4,6,50
4,7,21
4,5,30
4,5,30
4,5,30
4,5,30
4,5,30
4,5,30
4,5,50
4,5,21
4,2,30
4,2,21
4,7,21
4,7,21
4,7,21
4,5,21
4,5,30
4,7,21
4,7,21
4,7,21
4,7,21
4,7,21
4,7,21
4,7,21
4,4,30
4,2,21
4,4,21
4,4,21
4,2,30
4,7,21
4,7,21
4,7,21
4,5,50
4,4,21
4,4,21
4,4,21
4,7,21
4,4,21
4,2,21
4,5,30
4,7,21
4,4,21
4,4,30
5,9,33
5,9,33
5,9,33
5,9,33
5,9,33
5,9,33
5,7,60
5,7,21
5,9,21
5,7,60
5,7,53
5,7,33
5,7,21
5,7,21
5,7,21
5,7,21
5,1,61
5,1,45
5,1,61
5,1,29
5,1,29
5,7,29
5,1,23
5,7,29
5,1,37
5,1,46
5,1,62
5,9,40
5,7,40
5,4,23
5,7,23
5,7,21
5,7,33
5,9,21
5,9,21
5,9,21
5,1,21
5,1,46
5,1,46
5,9,33
5,9,33
5,7,33
5,7,33
5,9,33
5,7,33
5,9,33
5,9,33
5,9,33
5,9,33
5,9,33
5,9,33
5,9,21
5,9,21
5,1,39
5,9,33
5,9,33
5,9,33
5,9,33
5,9,45
5,9,33
5,9,33
5,9,44
5,4,21
5,9,33
5,9,33
5,9,33
5,9,21
5,9,33
5,9,62
5,9,33
5,9,33
5,9,33
5,7,21
5,9,33
5,9,33
5,9,33
5,10,33
5,9,33
5,9,33
5,9,21
5,7,21
5,9,33
5,9,33
5,9,62
5,7,40
5,4,40
5,9,21
5,7,21
5,9,33
5,7,23
5,7,21
5,9,33
5,10,33
5,9,21
5,9,21
5,9,21
5,9,63
5,7,63
5,7,63
5,9,33
5,7,21
5,7,21
5,9,33
5,9,36
5,9,33
5,9,33
5,9,36
5,9,36
5,9,21
5,9,21
5,7,40
5,9,44
5,7,40
5,9,63
5,9,21
5,9,21
5,9,33
5,9,33
5,9,64
5,9,33
5,9,33
5,9,33
5,9,33
5,9,33
5,9,36
5,9,33
5,9,33
5,9,33
5,9,33
5,7,21
5,9,33
5,7,21
5,9,33
5,7,21
5,7,53
5,7,21
5,9,21
5,7,21
5,9,31
5,11,33
5,9,36
5,4,21
5,9,33
5,9,33
5,7,60
5,9,21
5,9,21
5,9,21
5,10,33
5,9,33
5,9,33
5,9,33
5,9,33
5,10,33
5,4,60
5,9,21
5,9,33
5,9,33
5,9,36
5,9,33
5,9,33
5,9,21
5,9,21
5,9,21
5,10,33
5,9,33
5,9,33
5,9,21
5,4,21
5,9,21
5,9,21
5,9,21
5,9,21
5,9,21
5,9,60
5,9,60
5,9,60
5,9,33
5,9,33
5,9,21
5,9,33
5,9,33
5,9,33
5,8,61
5,9,33
5,8,61
5,8,61
5,8,29
5,8,61
5,8,65
5,8,37
5,8,61
5,8,65
5,8,40
5,8,61
5,8,40
5,9,33
5,9,33
5,8,61
5,8,29
5,9,21
5,9,21
5,9,21
5,9,21
5,9,29
5,9,60
5,9,33
5,9,33
5,9,31
5,9,31
5,9,31
5,9,33
5,9,33
5,9,33
5,9,33
5,9,21
5,9,33
5,9,21
5,9,33
5,9,63
5,9,36
5,4,44
5,9,21
5,9,36
5,9,33
5,9,33
5,4,60
5,4,21
5,1,29
5,7,21
5,4,60
5,7,29
5,7,29
5,7,29
5,7,29
5,7,40
5,7,40
5,7,40
5,7,29
5,7,23
5,7,33
5,7,33
5,7,21
5,7,60
5,7,26
5,9,21
5,9,21
5,7,60
5,7,42
5,7,21
5,7,21
5,7,33
5,7,21
5,7,60
5,7,33
5,7,33
5,7,33
5,7,33
5,7,33
5,7,60
5,7,21
5,7,60
5,9,42
5,9,21
5,9,21
5,7,21
5,9,21
5,9,21
5,7,42
5,7,21
5,9,66
5,9,66
5,7,21
5,9,21
5,9,33
5,9,33
5,9,33
5,9,60
5,9,21
5,9,21
5,9,37
5,9,60
5,7,21
5,9,29
5,9,33
5,9,29
5,9,67
5,7,68
5,7,21
5,7,26
5,7,69
5,7,29
5,7,60
5,7,21
5,9,33
5,9,33
5,9,33
5,9,33
5,9,33
5,9,33
5,9,39
5,9,21
5,9,20
5,7,29
5,7,21
5,7,21
5,7,21
5,7,21
5,9,21
5,9,21
5,9,31
5,9,31
5,9,31
5,9,31
5,9,31
5,9,33
5,9,33
5,7,70
5,7,21
5,7,21
5,7,21
5,7,26
5,7,26
5,7,26
5,7,68
5,7,63
5,7,63
5,7,60
5,7,71
5,9,31
5,9,31
5,7,21
6,1,23
6,7,23
6,7,21
6,7,21
6,4,60
6,4,60
6,9,21
6,9,56
6,7,21
6,1,26
6,7,21
6,9,21
6,9,72
6,7,26
6,9,23
6,9,23
6,9,33
6,9,21
6,7,60
6,4,21
6,9,21
6,1,46
6,1,46
6,1,61
6,1,46
6,1,26
6,7,26
6,10,21
6,7,21
6,9,33
6,7,60
6,9,60
6,10,21
6,9,60
6,9,31
6,9,73
6,7,42
6,8,61
6,8,61
6,8,61
6,8,65
6,9,33
6,9,33
6,9,33
6,9,33
6,8,37
6,8,65
6,9,67
6,8,61
6,8,61
6,8,61
6,8,26
6,8,61
6,8,26
6,8,26
6,8,61
6,8,74
6,8,37
6,8,33
6,9,33
6,9,33
6,8,65
6,8,26
6,8,26
6,8,37
6,8,21
6,9,21
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,10,21
6,9,31
6,9,33
6,9,33
6,9,31
6,9,31
6,7,21
6,7,21
6,1,62
6,4,60
6,1,75
6,7,21
6,7,21
6,7,21
6,10,33
6,10,33
6,10,33
6,9,33
6,10,60
6,10,33
6,7,33
6,10,60
6,10,21
6,10,21
6,7,60
6,9,33
6,7,33
6,9,21
6,9,21
6,9,21
6,9,21
6,9,21
6,9,21
6,9,21
6,9,21
6,4,21
6,4,21
6,9,21
6,9,21
6,4,64
6,9,60
6,9,76
6,4,21
6,1,67
6,9,67
6,7,29
6,9,33
6,4,25
6,9,60
6,1,37
6,1,29
6,9,60
6,10,33
6,9,33
6,9,31
6,9,21
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,9,21
6,9,33
6,9,21
6,9,33
6,9,33
6,9,33
6,9,33
6,9,21
6,9,60
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,9,33
6,9,31
6,9,31
6,9,31
6,9,31
6,10,33
6,9,67
6,9,77
6,10,33
6,9,65
6,9,65
6,9,36
6,10,33
6,10,33
6,10,33
6,10,21
6,10,60
6,9,60
6,7,23
6,9,21
6,9,21
6,9,21
6,7,21
6,7,40
6,7,21
6,9,21
6,9,21
6,9,60
6,7,23
6,9,31
6,7,40
6,7,40
6,7,40
6,7,40
6,7,21
6,7,26
6,7,21
6,7,21
6,7,60
6,7,21
6,7,60
6,7,21
6,7,21
6,9,33
6,9,32
6,9,21
6,9,21
6,9,21
6,9,21
6,9,21
6,7,21
6,7,21
6,7,21
6,7,60
6,7,40
6,7,40
6,7,21
6,7,21
6,7,70
6,7,21
6,7,21
6,7,21
6,7,40
6,7,40
6,7,40
6,7,26
6,7,40
6,7,21
6,7,23
6,7,71
6,7,21
6,7,40
6,7,40
6,7,40
6,7,23
6,7,78
6,7,21
6,7,21
6,7,79
6,7,60
6,7,26
6,7,26
6,7,40
6,7,26
6,7,21
6,9,21
6,9,60
6,7,21
6,9,29
6,9,31
6,9,60
6,9,60
6,9,31
6,7,60
6,7,21
6,7,80
6,7,60
6,7,60
6,7,60
6,7,60
6,7,60
6,7,21
6,7,60
6,7,40
6,9,31
6,9,60
6,9,31
6,9,33
6,10,21
6,9,21
6,10,60
6,4,60
6,9,60
6,7,40
6,7,21
6,7,80
6,7,80
6,7,80
6,7,80
6,7,80
6,7,80
6,7,21
6,7,21
6,7,40
6,7,60
6,7,70
6,9,31
6,7,80
6,7,80
6,7,80
6,7,21
6,7,40
6,7,21
6,7,23
6,7,21
6,7,21
6,7,33
6,7,33
6,7,70
6,7,21
6,9,36
6,7,60
6,7,21
6,7,21
6,9,60
6,9,60
6,9,21
6,9,21
6,7,21
6,7,21
6,7,21
6,7,60
6,7,60
6,7,60
6,7,60
6,9,37
6,9,31
6,9,37
6,9,81
6,7,60
6,7,21
6,7,21
6,9,21
6,9,21
6,9,60
6,7,60
6,7,60
6,7,60
6,9,21
6,7,21
6,7,60
6,7,60
6,7,21
6,7,21
