layer,from,to
1,1,122
1,2,123
1,2,124
1,3,125
1,3,126
1,4,127
1,5,128
1,5,126
1,5,129
1,6,130
1,6,131
1,6,126
1,6,132
1,6,133
1,6,134
1,6,135
1,6,136
1,6,137
1,6,138
1,6,139
1,6,140
1,6,141
1,7,142
1,7,143
1,7,144
1,7,145
1,7,146
1,7,147
1,7,148
1,7,140
1,7,141
1,8,149
1,8,150
1,8,127
1,8,128
1,8,151
1,8,131
1,8,126
1,8,152
1,8,153
1,8,141
1,8,154
1,8,155
1,8,156
1,9,157
1,9,158
1,9,159
1,9,160
1,9,161
1,9,162
1,9,133
1,9,143
1,9,163
1,9,148
1,9,164
1,10,165
1,10,166
1,10,167
1,10,168
1,10,169
1,10,131
1,10,170
1,10,126
1,10,171
1,10,133
1,10,172
1,10,173
1,10,122
1,10,174
1,10,175
1,10,145
1,10,176
1,10,138
1,11,177
1,12,178
1,12,158
1,12,179
1,12,127
1,12,180
1,12,181
1,12,182
1,12,183
1,12,167
1,12,184
1,12,185
1,12,159
1,12,160
1,12,186
1,12,172
1,12,187
1,12,134
1,12,143
1,12,188
1,12,189
1,12,144
1,12,190
1,12,191
1,12,163
1,12,136
1,12,192
1,12,176
1,13,149
1,13,193
1,13,194
1,13,128
1,13,195
1,13,177
1,13,151
1,13,131
1,13,126
1,13,133
1,13,173
1,13,196
1,13,197
1,13,138
1,13,156
1,13,198
1,13,199
1,14,154
1,15,200
1,15,149
1,15,193
1,15,201
1,15,202
1,15,203
1,15,179
1,15,204
1,15,194
1,15,205
1,15,128
1,15,195
1,15,177
1,15,206
1,15,207
1,15,166
1,15,125
1,15,208
1,15,209
1,15,131
1,15,210
1,15,211
1,15,212
1,15,126
1,15,213
1,15,214
1,15,215
1,15,216
1,15,217
1,15,172
1,15,173
1,15,134
1,15,218
1,15,122
1,15,219
1,15,220
1,15,197
1,15,221
1,15,222
1,15,176
1,15,138
1,15,223
1,15,224
1,15,156
1,15,199
1,16,126
1,17,195
1,17,225
1,17,166
1,17,131
1,17,126
1,17,218
1,17,122
1,17,220
1,17,145
1,17,139
1,17,141
1,18,212
1,19,177
1,19,209
1,19,122
1,19,226
1,20,183
1,20,167
1,20,227
1,20,228
1,21,128
1,21,229
1,22,126
1,23,148
1,23,230
1,23,141
1,24,165
1,24,130
1,24,231
1,24,232
1,24,185
1,24,233
1,24,234
1,24,235
1,24,236
1,24,237
1,24,238
1,24,239
1,24,240
1,24,132
1,24,241
1,24,242
1,24,172
1,24,243
1,24,134
1,24,244
1,24,245
1,24,246
1,24,247
1,24,143
1,24,248
1,24,144
1,24,145
1,24,249
1,24,250
1,24,251
1,24,252
1,24,253
1,24,146
1,24,147
1,24,148
1,24,254
1,24,192
1,24,255
1,24,164
1,24,176
1,24,256
1,24,140
1,24,141
1,25,128
1,25,126
1,25,257
1,25,174
1,25,136
1,25,176
1,25,138
1,25,258
1,26,131
1,26,171
1,26,259
1,26,134
1,26,174
1,26,143
1,26,260
1,26,255
1,26,176
1,26,138
1,26,261
1,27,126
1,28,149
1,28,262
1,28,238
1,28,226
1,28,263
1,29,264
1,29,165
1,29,265
1,29,177
1,29,130
1,29,232
1,29,266
1,29,167
1,29,267
1,29,131
1,29,170
1,29,126
1,29,171
1,29,268
1,29,269
1,29,270
1,29,133
1,29,271
1,29,272
1,29,273
1,29,274
1,29,275
1,29,276
1,29,220
1,29,147
1,29,277
1,29,255
1,29,278
1,29,279
1,29,141
1,29,154
1,29,280
1,29,155
1,30,126
1,31,126
1,31,270
1,32,151
1,33,194
1,33,128
1,33,131
1,33,126
1,33,270
1,33,134
1,33,176
1,33,155
1,34,266
1,34,154
1,34,280
1,35,165
1,35,131
1,35,122
1,35,147
1,36,281
1,36,149
1,36,128
1,37,143
1,38,131
1,39,130
1,39,282
1,39,131
1,39,212
1,39,126
