layer,from,to
1,1,46
1,1,47
1,1,48
1,1,49
1,2,47
1,2,50
1,3,47
1,4,46
1,4,51
1,4,47
1,5,47
1,6,47
1,6,52
1,7,47
1,2,53
1,2,49
1,8,46
1,8,47
1,9,47
1,10,46
1,10,54
1,10,47
1,10,53
1,10,52
1,3,46
1,3,53
1,5,46
1,5,55
1,11,47
1,10,50
1,5,49
1,9,50
1,9,53
1,5,52
1,10,49
1,12,47
1,13,53
1,10,56
1,14,46
1,15,46
1,15,57
1,15,58
1,15,51
1,15,59
1,7,60
1,7,49
1,16,61
1,14,47
1,15,47
1,9,49
1,9,62
1,15,49
1,17,47
1,15,63
1,9,56
1,15,64
1,13,64
1,11,49
1,18,49
1,9,65
1,17,53
1,17,49
1,17,62
1,17,60
1,19,59
1,13,66
2,15,58
2,17,47
2,17,67
2,17,65
2,17,62
2,18,48
2,18,49
2,13,58
2,13,67
2,9,68
2,9,65
2,9,62
2,17,60
2,17,54
2,17,68
2,17,55
2,17,49
2,18,61
2,18,65
2,18,62
2,20,62
2,18,66
2,17,69
2,9,70
2,19,71
2,9,56
2,17,72
2,20,49
2,17,73
2,18,70
2,18,74
2,21,60
2,21,67
2,22,62
2,23,55
2,20,72
2,18,75
2,18,60
2,18,54
2,18,47
2,18,69
2,24,68
2,22,76
2,22,60
2,21,49
2,20,76
2,25,51
2,26,68
2,26,49
2,26,62
2,27,61
2,26,77
2,22,74
2,20,51
2,20,54
2,20,69
2,20,73
2,21,54
2,21,70
2,25,58
2,26,70
2,28,76
2,20,78
2,27,76
2,20,58
2,29,70
2,25,64
2,26,51
2,28,69
2,29,72
2,26,69
2,28,58
2,21,72
2,25,56
2,26,72
2,20,70
3,30,67
3,20,49
3,29,67
3,26,51
3,26,69
3,26,72
3,20,79
3,29,70
3,25,64
3,25,79
3,25,56
3,26,58
3,26,79
3,26,62
3,22,60
3,29,73
3,26,56
3,26,48
3,26,49
3,22,80
3,31,58
3,25,58
3,31,79
3,32,70
3,29,79
3,26,81
3,26,70
3,26,67
3,31,69
3,25,82
3,22,67
3,29,64
3,26,80
3,33,79
3,31,51
3,29,58
3,29,51
3,29,83
3,26,64
